AS0 [ -Reserved AS-, ZZ ]
AS55229 [ WSHOSTING, US ]
AS55230 [ PWRTC-AS, US ]
AS55231 [ 09172010, US ]
AS55232 [ MX-HOSTED, US ]
AS55233 [ GYRODATAINC, US ]
AS55234 [ PLEXUSSYSTEMS-US2, US ]
AS55235 [ CRONOMAGIC-2, CA ]
AS55236 [ CBC, US ]
AS55237 [ WFSCORP-AS, US ]
AS55238 [ KMCPHX, US ]
AS55239 [ VWNA-AS2, US ]
AS55240 [ UNIFOC, US ]
AS55241 [ XTRACTS, US ]
AS55242 [ ZSCALER-ATLANTA, US ]
AS55243 [ CEDARNET, US ]
AS55244 [ BLUE-01, US ]
AS55245 [ VIVINT-W, US ]
AS55246 [ EASTERN-OREGON-TELECOMM-LLC, US ]
AS55247 [ IVALUA, US ]
AS55248 [ WHOA-NETWORKS, US ]
AS55249 [ SAGE-ELSEG1, US ]
AS55250 [ IQVIA-KIRKLAND, US ]
AS55251 [ TAXHAWK-AS, US ]
AS55252 [ ACTIVE-ASN-2013, US ]
AS55253 [ ICM-BLK-1-2, US ]
AS55254 [ WAVEDIRECT-CDN, CA ]
AS55255 [ IPGPHOTONICS, US ]
AS55256 [ NETSKOPE, US ]
AS55257 [ LOU1-STRATAPOINTE, US ]
AS55258 [ COLOGIX-INC, US ]
AS55259 [ NEUTRONA-NETWORKS-INTERNATIONAL, US ]
AS55260 [ POLK-SCHOOL-DISTRICT, US ]
AS55261 [ DMISTL, US ]
AS55262 [ SAFELINK-WY, US ]
AS55263 [ UNITEDLEX, US ]
AS55264 [ ATLANTIC-METRO-COMMUNICATIONS-II-INC, US ]
AS55265 [ VITAS-HOSPICE-SMY-SCOTTS, US ]
AS55266 [ FRMC01, US ]
AS55267 [ MIDRANGE-AS, CA ]
AS55268 [ WA-EDMONDS15, US ]
AS55269 [ CST, US ]
AS55270 [ QIPMIA1, US ]
AS55271 [ STACK8, CA ]
AS55272 [ ATGTECH, US ]
AS55273 [ 360-MADDISON-BGP, US ]
AS55274 [ CAESARS-ENTERTAINMENT, US ]
AS55275 [ CANFONE, CA ]
AS55276 [ SYMQUEST-NET, US ]
AS55277 [ PINAL-AS, US ]
AS55278 [ CIG-ASN, US ]
AS55279 [ JOCKEY-INT, US ]
AS55280 [ AUTHENTICOM, US ]
AS55281 [ ECHO-GLOBAL, US ]
AS55282 [ SUNYCANTON-AS, US ]
AS55283 [ NETURALLYSPEAKING, US ]
AS55284 [ USAC-1, US ]
AS55285 [ -Reserved AS-, ZZ ]
AS55286 [ SERVER-MANIA, CA ]
AS55287 [ SLSOT-NET-1, US ]
AS55288 [ DSI-EXPLORER, CA ]
AS55289 [ HEALTH-COMMUNICATIONS-INC, US ]
AS55290 [ DTCC-CDZ-CVO, US ]
AS55291 [ HARRIS-COUNTY-AS, US ]
AS55292 [ WELLMARK, US ]
AS55293 [ A2HOSTING, US ]
AS55294 [ MONSTERENERGY, US ]
AS55295 [ NEWDAYASN, US ]
AS55296 [ NIPFPNET-AS-AP NATIONAL INSTITUTE OF PUBLIC FINANCE AND POLICY, IN ]
AS55298 [ ADK-AS-AP AS Data(Hong Kong)Limited, HK ]
AS55300 [ DIACCU2-AS-NZ PO Box 805, NZ ]
AS55301 [ DIACCU3-AS-NZ PO Box 805, NZ ]
AS55302 [ AGDTECH-AU GPO Box 2142, AU ]
AS55303 [ EAGLENET-AP 60 Market Square,P.O. Box 364, PH ]
AS55304 [ APAM-AU Australia Pacific Airports (Melbourne) Pty Ltd, AU ]
AS55305 [ ODSJSC-VN ODS Joint Stock Company, VN ]
AS55306 [ AGRIBANK-AS-VN Vietnam bank for Agriculture anh Rural Development, VN ]
AS55307 [ APEC-AS-VN Asian Pacific Securitis Joint Stock Company, VN ]
AS55308 [ MPI-AS-VN Informatics Center-Ministry of Planning and Investment, VN ]
AS55309 [ MTT-AS-VN Minh Tu Telecom Limited Company, VN ]
AS55310 [ KCS-AS-VN KCS VIETNAM COMPANY LIMITED, VN ]
AS55311 [ LIENVIETBANK-AS-VN LienViet Post Joint stock Commercial Bank, VN ]
AS55312 [ HOANGLONG-AS-VN Golden Dragon Company, VN ]
AS55313 [ HANELCOM-AS-VN Hanel Communication JSC, VN ]
AS55314 [ NEWLIFE-AS-VN NEWLIFE COMPANY, VN ]
AS55315 [ SSI-AS-VN SSI Securities Incorporation, VN ]
AS55316 [ SHB-AS-VN Saigon - Hanoi Commercial Joint Stock Bank, VN ]
AS55317 [ ABBANK-AS-VN 170 Hai Ba Trung, DaKao Ward, District 1, Hochiminh City, VN ]
AS55318 [ ACB-AS-VN Asia Commercial Bank, VN ]
AS55319 [ VPBANK-AS-VN VietNam Prosperity Joint Stock Commercial Bank, VN ]
AS55320 [ KNODE-AS-VN KNODE TECHNOLOGY COMPANY LIMITED, VN ]
AS55321 [ STSC-AS-VN Saigontourist securities corporation, VN ]
AS55322 [ NPC-AS-VN North Power Company, VN ]
AS55323 [ VIETINBANKSC-AS-VN Viet Nam Bank for Industry and Trade Securities JSC, VN ]
AS55324 [ POVO-AS-VN Premier Oil Viet Nam Offshore B.V, VN ]
AS55325 [ EASTWATER-TH-AS-AP Eastern Water Resources Development and Management Company, TH ]
AS55326 [ AFG-AS-AP Australian Finance Group Ltd, AU ]
AS55328 [ REMEX-AU Level 2, Building C, AU ]
AS55329 [ TELCOTECH-KH Telcotech Ltd., KH ]
AS55330 [ GCN-DCN-AS AFGHANTELECOM GOVERNMENT COMMUNICATION NETWORK, AF ]
AS55331 [ FTG-AS-AP Forewin Telecom Group Limited, HK ]
AS55332 [ HARBOURMSP-SG 50 Raffles Place, SG ]
AS55333 [ TATA-2-NET-IN EL6,TTC Industrial Area,Electronics Zone, IN ]
AS55334 [ ASL-338-HK Access Solutions Limited, HK ]
AS55336 [ DOCOMOINTERTOUCH-AU DOCOMO interTouch - Australia Operation, SG ]
AS55337 [ ABNOTE-GROUP-AU 1144 NEPEAN HIGHWAY, AU ]
AS55339 [ CAPITALNOMURA-SECURITIES Capital Nomura Securities PCL., TH ]
AS55340 [ TELECARD-AS-AP Telecard Limited, PK ]
AS55341 [ ORANGEINFOCOM-IN-IN 51/A RACHNA MIDAS GOKULPETH, IN ]
AS55342 [ HOMENET6837-AS-AP Homenet, MN ]
AS55343 [ CBSP-AS-AP Conduent Business Services Philippines Inc., PH ]
AS55344 [ MTBSYSADMIN-BD Head Office, BD ]
AS55347 [ SEVEN-O-ONE_SEARCH-PH 701 Search Inc., PH ]
AS55348 [ SYMBIO-AS-AP-SG AS number for Singapore POP for, SG ]
AS55349 [ PHULAY-AS-AP Phulay Beach Resort which is one Hotel &amp; Resort in Phuket in Thailand., TH ]
AS55350 [ VSCGT-HK Virtual Switching Consultancy Limited (C/O VXRoutes Ltd), HK ]
AS55351 [ KAIZENINFO-AS KAIZEN INFONET PRIVATE LIMITED, IN ]
AS55352 [ MCPL-IN Microscan Computers Private Limited, IN ]
AS55353 [ RPNET-AS-AP RAJESH PATEL NET SERVICES PVT. LTD., IN ]
AS55354 [ ACEINT-AS-AP Ace Internet Services Pty Ltd, AU ]
AS55355 [ ISP-AS-AP ISP, HK ]
AS55356 [ WATEENTEL-AS-AP Wateen Telecom (Pvt.) Ltd., PK ]
AS55357 [ TRANSITCO-AS-AP Transit Co Australian Transit AS. Enquiries to the hostmaster., AU ]
AS55358 [ HORIZON-POWER-AU 18 Brodie Hall Drive, AU ]
AS55359 [ FLUCCS-AS-AP Fluccs Australia Australian Cloud Provider, AU ]
AS55360 [ HEADSTRONG-INDIA-AS-AP Headstrong Services India Pvt. Ltd., IN ]
AS55361 [ LUCKYTONE-NET-HK Lucky Tone Communications Ltd., HK ]
AS55363 [ NSWDOH-AU 73 Miller Street, AU ]
AS55365 [ WESFARMERS-CEF-AU Campus Drive (Cnr Murdoch Drive), AU ]
AS55366 [ BUPA-AUS-HEALTH-AS-AP BUPA Australia Health Pty Ltd, AU ]
AS55368 [ UFONE2-AS-AP UCS Limited, NZ ]
AS55369 [ DEDIPOWERHK-AS DediPower Managed Hosting Limited, HK ]
AS55372 [ OIX University of the Ryukyus, JP ]
AS55373 [ TRI-KOBE-NET Foundation for Biomedical Research and Innovation, JP ]
AS55374 [ TOKYO6TO4NTT WIDE Project, JP ]
AS55375 [ SI-NET SmartInsight Inc., JP ]
AS55376 [ KCV-HITANET KCV communications CO.,LTD., JP ]
AS55377 [ SADAITEC Sadiatec Co., Ltd, JP ]
AS55378 [ QUICK-YCCNET QUICK Corp., JP ]
AS55379 [ HOSEI-NET Hosei University, JP ]
AS55380 [ KAINS Kanazawa University, JP ]
AS55381 [ CCSNET CITY-CABLE SHUNAN Corporation, JP ]
AS55382 [ HOT-CHA Nagato city office, JP ]
AS55383 [ IDC-JP YYY Group, Inc., JP ]
AS55384 [ JAIST-EXP Japan Advanced Institute of Science and Technology, JP ]
AS55385 [ DA Digital Alliance Co.,Ltd., JP ]
AS55387 [ RMGR-MIX Japan Communication Inc., JP ]
AS55388 [ ASJ ASJ INC., JP ]
AS55389 [ JPNE Japan Network Enabler Corporation, JP ]
AS55390 [ TUSNET Tokyo University of Science, JP ]
AS55391 [ MF-NATIVE6-E INTERNET MULTIFEED CO., JP ]
AS55392 [ MF-NATIVE6-W INTERNET MULTIFEED CO., JP ]
AS55393 [ MIDOKURA Midokura Japan K.K., JP ]
AS55394 [ GREE-NET GREE, Inc., JP ]
AS55395 [ FUSION-C Rakuten Communications Corp., JP ]
AS55396 [ FNCLAB NRI SecureTechnologies, Ltd, JP ]
AS55397 [ UFONE3-AS-AP UCS Limited, NZ ]
AS55398 [ WISHNET-AS-AP WISH NET PRIVATE LIMITED, IN ]
AS55399 [ GERRYS-AS-AP Gerrys Information Technology (PVT) Ltd, PK ]
AS55400 [ INFOXCHANGE-AS-AP Infoxchange Australia, AU ]
AS55402 [ PNB1COM-PH PNB Financial Center, PH ]
AS55403 [ PTTDIGITAL-AS-AP PTT Digital Solutions Company Limited, TH ]
AS55405 [ EXABYTES-AS-AP Exa Bytes Network Sdn.Bhd., MY ]
AS55406 [ HRCTECH-01-AS-AP 26 Shyamoli, Bir Uttam A. W. Chowdhury Road, BD ]
AS55407 [ DPU-AS-AP Dhurakij Pundit University, TH ]
AS55408 [ MCS-AS-AP Univision LLC, MN ]
AS55409 [ AKAMAI-AS-AP Akamai Technologies, Inc., AU ]
AS55410 [ VIL-AS-AP Vodafone Idea Ltd, IN ]
AS55411 [ SUPERLOOP-AS-AP SUPERLOOP (AUSTRALIA) PTY LTD, AU ]
AS55412 [ SYSTEM3-NET-INTERNATIONAL-GATEWAY SYSTEM3 IS INDIA'S ONLY CARRIER NEUTRAL DATA CENTER, IN ]
AS55413 [ DBP-AS-AP Development Bank of the Philippines, PH ]
AS55414 [ WORLDCALL-AS-AP Worldcall Telecom Ltd., PK ]
AS55415 [ MBS-SG 4 Shenton Way, SG ]
AS55416 [ YAHOO-KRA YAHOO! KRA, KR ]
AS55417 [ YAHOO-SGA YAHOO! SGA, TW ]
AS55418 [ YAHOO-ID1 YAHOO! ID1, SG ]
AS55419 [ ADVAM-AS-AP ASN for Advam Pty Ltd, AU ]
AS55420 [ SABAHNET-AS-AP APNIC ASN Block, MY ]
AS55421 [ DOCOMOINTERTOUCH-IN DOCOMO interTouch - India Operation, SG ]
AS55422 [ INTERACTIVEHOSTING-AS-AP 437 Williamstown Road, AU ]
AS55423 [ JASTEL-NETWORK-TH-IDC-AP JasTel Network, TH ]
AS55424 [ INSTATELECOM-AS-AP Instatelecom Limited, AF ]
AS55425 [ BTRAC-AS-AP Bangla Trac Communications Ltd (IGW Operation), BD ]
AS55426 [ FCIASIA-AS-AP Amphenol FCI Asia Pte Ltd, SG ]
AS55427 [ BROADLINK-AS-AP Broadlink Nepal, NP ]
AS55428 [ MASSINFONET-AS-AP Mass Infonet (P) Ltd., IN ]
AS55429 [ LLNW-IN Limelight Networks India, IN ]
AS55430 [ STARHUB-NGNBN Starhub Ltd, SG ]
AS55431 [ PHCOLO-AS-AP PHCOLO INC., PH ]
AS55433 [ CDAC-NON-AS-AP Centre for Development of Advanced Computing, IN ]
AS55434 [ ADS-AS-EAST-AP Airbus Defence and Space AS, NO ]
AS55435 [ WDC-AS-AP Whangarei District Council, NZ ]
AS55436 [ VNGSL-VOICE-AS-AP Vodafone Next Generation Services Limited, NZ ]
AS55437 [ WIT-PHILS-INC-PH WIT Phils., Inc., PH ]
AS55439 [ ISC-PEK2 Internet Systems Consortium, (Beijing, China), CN ]
AS55440 [ ISC-NRT1 Internet Systems Consortium, Pnohm Penh, KH ]
AS55441 [ TTSLMEIS-AS-AP TTSL-ISP DIVISION, IN ]
AS55444 [ CENGAGE-LEARNING-AS-AP Cengage Learning Australia Pty Limited, AU ]
AS55446 [ CENTDEVTEL-NON-AS-AP CENTRE FOR DEVELOPMENT OF TELEMATICS, IN ]
AS55448 [ GLOBALLOGIC-IN GlobalLogic India Ltd., IN ]
AS55449 [ AUSWEBCOMAU-AS-AP AUSWEB.com.au Pty Ltd, AU ]
AS55451 [ NBTC-THAI-AS-TH Office of the National Broadcasting and, TH ]
AS55453 [ SKYTELECOM-AS-PK House # 39 Street 38 F10 /4, PK ]
AS55454 [ ORCONNET Orcon Internet Ltd, NZ ]
AS55455 [ TDASL-AU TECH DATA ADVANCED SOLUTIONS (ANZ) LIMITED, AU ]
AS55456 [ UNITEDENERGY-AS-AP Level 3 501 Blackburn Road, Mount Waverley, AU ]
AS55457 [ JPNIC-2BYTE-ASBLOCK-AP for assignment to JPNIC members, JP ]
AS55459 [ SERVION-NET256-AS-AP Servion Global Solutions Ltd, IN ]
AS55460 [ TATA-AS Tata Communications Limited, IN ]
AS55461 [ SUNINFO-MDC Beijing Sun Rise Technology CO.,LTD, CN ]
AS55462 [ BZTC Beijing ZhongDianXinDa Communication Technology Co., Ltd., CN ]
AS55463 [ CNISP-UNION Rm.2204, Building 2, Huihuang International Building, CN ]
AS55464 [ MILLERFORD-SG 150 Orchard Road # 06/16, ORchard Plaza, SG ]
AS55465 [ TTT-AS-AP TT&amp;T Co., Ltd. 252/30 Muang Thai-Phatra Complex Tower1 24 Flr, Ratchadaphisek Road, Huaykwang, Bangkok., TH ]
AS55466 [ ISPUNION-CN Rm.2204, Building 2, Huihuang International Building, CN ]
AS55467 [ ICEMEDIA-AS-AP Icemedia Pty. Ltd., AU ]
AS55468 [ CRI China Radio International, CN ]
AS55469 [ ACCENTURE-MNL-AS-AP Accenture Australia Pty Ltd, AU ]
AS55470 [ CYFUTURE-AS-IN Cyfuture India Pvt. Ltd., IN ]
AS55471 [ APNICTRAININGLAB-AU AS number for APNIC TRAINING LAB, AU ]
AS55472 [ APNGTSNET-AS-AP APN News &amp; Media, AU ]
AS55474 [ MASTER-NET-AS-AP Master Capital Services Ltd, IN ]
AS55476 [ CPALL-AS-AP CP All Public Co., Ltd., TH ]
AS55477 [ ADMU-AS-PH Loyola Heights, PH ]
AS55478 [ VEDAADNET1-AS-AU Level 15, 100 arthur Street, AU ]
AS55479 [ IITKNET-AS-AP IIT Kanpur, IN ]
AS55480 [ ISERVICES-HK I-Services Network Solution Ltd, HK ]
AS55482 [ DIGITAL-WAVE-MY Level 12 Menara Sunway, Jalan Lagoon Timur, MY ]
AS55483 [ MULTINET-AS-AP Multinet Pakistan ASN, PK ]
AS55485 [ TWWOA-AS-NZ 1 Francis Street, NZ ]
AS55486 [ NETWORX-AS-AP Networx Australia, AU ]
AS55487 [ GLOBALFOUNDRIES-SG 60 Woodlands Industrial Park D Street 2, SG ]
AS55488 [ NRRU-AS-AP Nakorn Ratchasima Rajabhat University, TH ]
AS55489 [ ITO-HK Suite 2101, Lever Tech Centre, HK ]
AS55490 [ TRUEMOVE-AS-AP True Move Company Limited, TH ]
AS55491 [ KANGAN-AU Pearcedale Parade, AU ]
AS55492 [ DFN-BD Dhaka Fiber Net Limited, BD ]
AS55493 [ ITLEADERS-AU 3/4 United Road, AU ]
AS55494 [ MEDUSIND-IN 6th Floor, The Great Oasis, D-13, IN ]
AS55496 [ SEACON-AS-AP Seacon Hotel &amp; Resorts Co.,Ltd., TH ]
AS55497 [ BLIZZARD-AP 16215 Alton Parkway, SG ]
AS55498 [ GREENLINE-AS-AP Greenline Synergy Co.,Ltd., TH ]
AS55500 [ FCA-AU 97 - 99 Goulburn Street, AU ]
AS55501 [ CONNECTEL-PK 141-143 Maulana Shaukat Ali Road, PK ]
AS55502 [ NZICA-NET-NZ Level 7 50 Customhouse Quay, NZ ]
AS55504 [ BP-AS-AUS BP Australia, SG ]
AS55505 [ HNEHEALTH-AU Locked bag No 1, AU ]
AS55506 [ PENTANA-AS Pentana Solutions, AU ]
AS55507 [ TEJAYS-AS Tejays Dynamic Limited, IN ]
AS55508 [ INTERNET-LA Lao National Internet Center (LANIC), LA ]
AS55509 [ THESPECIALIZT-AU Unit 506 77 Dunning Ave Rosebery NSW 2018, AU ]
AS55510 [ EXCELTECH-1-IN 5/D5, SIPCOT IT PARK, 1st CROSS ST, IN ]
AS55511 [ VLL-AS-AP Vimpelcom Lao Co Ltd, LA ]
AS55512 [ HONGKONG3-HK HONGKONG SUHUA TRADING LIMITED, HK ]
AS55514 [ EGAT-CO-TH Electricity Generating Authority of Thailand (EGAT), TH ]
AS55515 [ GOIP-AULA GOIP-AULA-LIMITED, CN ]
AS55516 [ UCOL-AS-AP Universal College of Learning, NZ ]
AS55517 [ YAHOO-HKA YAHOO! HKA, HK ]
AS55518 [ SGIX-SG-RS-RC 10 Collyer Quay, SG ]
AS55519 [ CYNERGIC3-AS-AP Cynergic Pty Ltd, AU ]
AS55520 [ GENTINGMALAYSIA-AS-AP Genting Malaysia Berhad, MY ]
AS55521 [ IVEGROUP-AS-AP IVE GROUP AUSTRALIA PTY LTD, AU ]
AS55522 [ NOBLE-HOME-TH 19 Fl., Tonson Tower, 900 Ploenchit Rd., TH ]
AS55523 [ TELETOK-AS-AP Telecommunications Tokelau Corporation - Teletok, TK ]
AS55524 [ TOI-AS-AP Toi Ohomai Institute of Technology, NZ ]
AS55525 [ MFB-AS-AP Metropolitan Fire Brigade, AU ]
AS55526 [ NOIDASOFTWARETECHNOLOGYPARK-IN NOIDA Software Technology Park Ltd, IN ]
AS55527 [ ADVAM-AS-AP ASN for Advam Pty Ltd, AU ]
AS55529 [ UNITEDLEX-NET-IN DLF Building no. 6, Tower A, IN ]
AS55531 [ BRAC-BANK-AS-AP BracBank Limited, BD ]
AS55532 [ SQUIZ-AS-AP Squiz Pty Ltd, AU ]
AS55533 [ HAQIT-AS-AP HAQ I.T. Pty Ltd, AU ]
AS55534 [ PPL-PK 4th Floor, PIDC House, PK ]
AS55535 [ IRINN-AS Indian Registry for Internet Names and Numbers, IN ]
AS55536 [ PSWITCH-HK PACSWITCH IP NETWORK, HK ]
AS55538 [ CIMB-AS-AP CIMB Securities (Thailand) Co.,Ltd., TH ]
AS55539 [ AMCDC-AS-AP AMC Data Centre, AU ]
AS55540 [ BLAZENET-AS-AP Blazenet Pvt Ltd, IN ]
AS55541 [ MCB15MAIN-AS-AP MCB Bank Ltd, PK ]
AS55542 [ RMSNET-AS-AP Roads and Maritime Services, AU ]
AS55543 [ LYCAMOBILE-AU Suite 305, level 3, 66 Berry St, AU ]
AS55545 [ SUT-AS-AP Suranaree University of Technology, TH ]
AS55546 [ MOBINET-AS-MN Mobinet LLC. AS Mobinet Internet Service Provider, MN ]
AS55547 [ WOODSNET-PH Unit D,E,F,G 28th Floor, PH ]
AS55549 [ KDDI-TH-AS-AP True International Gateway Co., Ltd., TH ]
AS55550 [ NEXTGEN-BD Nextgen Networks Limited, BD ]
AS55551 [ BRAVURA-SOLUTIONS-AU Level 2, AU ]
AS55552 [ NETWORK-BOX-HK 16th Floor Metro Loft, HK ]
AS55553 [ SINGTEL Singapore Telecommunications Limited, SG ]
AS55554 [ INTER-IIT-TIG-AS-AP True International Gateway Co., Ltd., TH ]
AS55555 [ DELION-AP Delion Pty Ltd, AU ]
AS55557 [ BHARTI-MO-AS-AP Bharti Airtel Limited, IN ]
AS55558 [ SPEEDYGROUPCLOUD-AS-AP Speedy Group Cloud Limited, HK ]
AS55559 [ HTNETWORKS-KH Cambodia DIX(Domestic Internet eXchange), KH ]
AS55561 [ TWO-TALK 2talk Global IP Network, NZ ]
AS55562 [ SIX-FINANCIAL-INFORMATION-SINGAPORE-PTE-LTD 5 Temasek Boulevard, SG ]
AS55563 [ DR-NETWORK-IN Dr.Reddy's Laboratories Ltd., IN ]
AS55564 [ JETNET-AU Malcolm Weatherley, AU ]
AS55566 [ IUCAA-IN Inter University Centre for Astronomy and Astrophysics, IN ]
AS55567 [ AZZURRI-AU Suite 2, Level 9, AU ]
AS55569 [ CRITEO-AS-AP Criteo APAC, JP ]
AS55570 [ PAREXEL-IN 8th Floor, DLF Cybercity, IN ]
AS55571 [ AMWAYIT-ADMIN-MY No. 43000, MY ]
AS55573 [ WWWIRES-AU 5/33 Palm Beach Ave, Palm Beach, QLD, AU ]
AS55574 [ PRODAPT-IN # 9 Seshardi Road, IN ]
AS55575 [ MAXOTEL-AU Maxo Telecommunications, AU ]
AS55576 [ GAMANET-AS-EU Gamania Digital Entertainment Co., Ltd., TW ]
AS55577 [ BEAMTELE-AS-AP Atria Convergence Technologies pvt ltd, IN ]
AS55578 [ CGI-INDIA-IN Tower 2, #95/1 &amp; 95/2, IN ]
AS55579 [ CSLSAMOA-AS-AP Computer Services Ltd, WS ]
AS55580 [ MORETONBAY-NON-AS-AP Moreton Bay Regional Council - Pine Rivers Office, AU ]
AS55581 [ BINARY-AU Binary Networks, AU ]
AS55582 [ TELCOTECH-LOCAL-AS-AP Telcotech Local AS, KH ]
AS55583 [ MVOICE-AU Level 8, AU ]
AS55584 [ KPX-AS-KR Korea Power Exchange, KR ]
AS55585 [ LIGSTOCK-AS-KR CAPE Investment Securitie Co., Ltd., KR ]
AS55586 [ CATHOLIC-AS-KR THE CATHOLIC UNIVERSITY OF KOREA SONGSIM, KR ]
AS55587 [ RAYNET2 GORayNet, KR ]
AS55588 [ NFCF-AS-KR Information Technology Center, KR ]
AS55589 [ KITECH-AS-KR Korea Institute of Industrial Technology, KR ]
AS55590 [ SONYKOREA-AS-KR Sony Korea, KR ]
AS55591 [ KICE-AS-KR Korea Institute for Curriculum and Evaluation, KR ]
AS55592 [ KDT-AS-KR Korea Data Telecommunication Co., Ltd., KR ]
AS55593 [ NETMARBLE-AS-KR netmarble, KR ]
AS55594 [ KBPHYINT-AS-KR KOOKMIN BANK, KR ]
AS55595 [ AIAKR-AS-KR American International Assurance Company Korea, KR ]
AS55596 [ GILHOSP-AS-KR Gachon University Gil Hospital, KR ]
AS55597 [ NCC-AS-KR National Cancer Center, KR ]
AS55598 [ KEITI-AS-KR Korea Environmental Technology Industry Institute, KR ]
AS55599 [ NAMYANGI-AS-KR namyang, KR ]
AS55600 [ HANA-AS-KR Hana Broadcasting Co, Ltd, KR ]
AS55601 [ ECFC-AS-KR Electric Contractors Financial Cooperative, KR ]
AS55602 [ KBCARD-AS-KR kbcard, KR ]
AS55603 [ KISA118 Korea Internet Security Agency, KR ]
AS55604 [ KOMSCO-AS-KR KOMSCO, KR ]
AS55605 [ DAEWONPHARM-AS-KR daewonpharm, KR ]
AS55606 [ DSME-AS-KR DSME, KR ]
AS55607 [ DUIH-AS-KR Dongguk University Ilsan Hospital, KR ]
AS55608 [ EXRKOREA-AS-KR LEE AND HAN CO., KR ]
AS55609 [ FSICERT-AS-KR Financial Security Institute, KR ]
AS55610 [ MSAFER-AS-KR KAIT, KR ]
AS55611 [ KYUNGMIN-AS-KR kyungmin university, KR ]
AS55612 [ SUWON LG DACOM Corporation, KR ]
AS55613 [ KAB-AS-KR KOREA APPRAISAL BOARD, KR ]
AS55614 [ DANAL-AS-KR danal.co, KR ]
AS55615 [ DUZONBIZON-AS-KR DOUZONEBIZON, KR ]
AS55616 [ DGIST-AS-KR DGIST, KR ]
AS55617 [ KB55617-AS-KR The Kwangju Bank Ltd., KR ]
AS55618 [ UOU-AS-KR UNIVERSITY OF ULSAN, KR ]
AS55619 [ HANALIFE-AS-KR Hana Life Insurance Co., Ltd., KR ]
AS55620 [ KNOC-AS-KR KNOC, KR ]
AS55621 [ JNUE-AS-KR Jeonju National University Of Education, KR ]
AS55622 [ CNUE-AS-KR CNUE, KR ]
AS55623 [ KIDI-AS-KR Korea Insurance Development Instute, KR ]
AS55624 [ DAELIM-AS-KR DAELIM, KR ]
AS55625 [ CWUNET-AS-KR Chungwoon University, KR ]
AS55626 [ KYUNGIN-AS-KR Kyungin Womens college, KR ]
AS55627 [ DONGDUK-AS-KR Dongduk Womens University, KR ]
AS55628 [ SGUC-AS-KR Incheon Free Economic Zone, KR ]
AS55629 [ TMON-AS-KR TMON, KR ]
AS55630 [ KSNET-AS-KR KSNET.Inc, KR ]
AS55631 [ KSURE-AS-KR Korea trade insurance corporation, KR ]
AS55632 [ SEJONG-AS-KR Hansol High School, KR ]
AS55633 [ DMC-AS-KR pundang jesaeng general hospital, KR ]
AS55634 [ KASIKORN-ASSET-MANAGEMENT Kasikorn Asset Management Co.,Ltd., TH ]
AS55635 [ BANGKOKVPS BangkokVPS.com, TH ]
AS55636 [ TPLC-KH TPLC Holding Ltd., KH ]
AS55637 [ HOST-AS-AP Hostin Services Private Limited, IN ]
AS55638 [ APNIC-AS-AP APNIC ANYCAST, AU ]
AS55639 [ ASIAWEB-SERVICE-HK Asia Web Service Ltd, HK ]
AS55641 [ ONEWORLD-GROUP Changping District, Beijing, CN ]
AS55642 [ CONTROL-DATA-CSLOXINFO-AS-TH Control Data (Thailand) Ltd, TH ]
AS55644 [ VIL-AS-AP Vodafone Idea Ltd, IN ]
AS55646 [ NEXGEN-AS-AP 6 Sukhumvit 49/9, Sukhumvit Rd, Klongton Nua, Wattana, Bangkok 10110, TH ]
AS55649 [ METRONET-HK Flat C, 16/F, Skyline Tower, HK ]
AS55650 [ CAPITALIQ-PH-AS-AP Capital IQ Information Systems, PH ]
AS55651 [ DBOLICALPTYLTD-AU DBOLICAL PTY LTD, AU ]
AS55652 [ DASHNET-AS-ID Sumidhaz Permata Bunda, PT, ID ]
AS55653 [ SKYLINE-AS-ID Skyline Semesta, PT, ID ]
AS55654 [ IDNIC-IAINSURAKARTA-AS-ID IAIN Surakarta, ID ]
AS55655 [ SIMS-AS-ID PT. Saranainsan Mudaselaras, ID ]
AS55656 [ DEPHUB-AS-ID Ministry of Transportation Republic of Indonesia, ID ]
AS55657 [ IDNIC-ID Indonesia Network Information Center, ID ]
AS55658 [ HYPERNET-AS-ID PT. HIPERNET INDODATA, ID ]
AS55659 [ OD-IX-AS-ID PT Omadata Indonesia (OMADATA Internet Exchange), ID ]
AS55660 [ MWN-AS-ID PT Master Web Network, ID ]
AS55661 [ JATISMOBILE-AS-ID PT Informasi Teknologi Indonesia, ID ]
AS55662 [ IDNIC-CITRAWEB-AS-ID CV. CITRAWEB NUSA INFOMEDIA, ID ]
AS55663 [ NETARA-AS-ID PT Poros Network Nusantara, ID ]
AS55664 [ IDNIC-SERVERKEREN-AS-ID PT Exa Rekatek Prosolusi, ID ]
AS55665 [ STMI-AS-ID PT Sampoerna Telemedia Indonesia, ID ]
AS55666 [ GMEDIA-AS-ID PT Media Sarana Data, ID ]
AS55667 [ IPTELECOM-AS-ID PT IP Telecom Multimedia Indonesia, ID ]
AS55668 [ JABARTELNET-AS-ID PT Jabar Telematika, ID ]
AS55669 [ MCS-AS-ID PT. Maxindo Content Solution, ID ]
AS55670 [ UNIVERSALNET-AS-ID PT. Universal Broadband, ID ]
AS55671 [ IDNIC-ID Indonesia Network Information Center, ID ]
AS55672 [ USD-AS-ID Universitas Sanata Dharma, ID ]
